date,Open,High,Low,Close,Volume
18-05-2022,57.02,57.82,49.39,49.83,1745565671
19-05-2022,49.83,53.99,48.22,52.12,1958004386
20-05-2022,52.12,53.57,47.76,49.37,1830699507
21-05-2022,49.37,51.16,48.38,50.25,979492374
22-05-2022,50.25,53.12,49.64,52.46,1105760506
23-05-2022,52.46,54.61,48.58,49.1,1661669360
24-05-2022,49.1,50.78,47.06,49.63,1508166642
25-05-2022,49.63,50.48,47.52,47.92,1304580067
26-05-2022,47.92,48.59,41.69,43.43,2208994514
27-05-2022,43.43,43.89,39.97,41.1,2256358026
28-05-2022,41.1,44.99,40.25,44.22,1254325884
29-05-2022,44.22,45.56,41.8,44.92,1317843243
30-05-2022,44.92,48.32,44.23,47.18,1708817065
31-05-2022,47.18,48.17,44.56,45.74,1509191627
01-06-2022,45.74,46.1,39.59,40.09,1422647092
02-06-2022,40.09,41.55,38.11,40.82,1554022054
03-06-2022,40.82,41.51,37.66,38.23,1348656102
04-06-2022,38.23,39.46,35.72,38.97,1130762770
05-06-2022,38.97,40.17,37.83,38.49,998532387
06-06-2022,38.49,44.65,38.31,42.36,1955057411
07-06-2022,42.36,42.65,37.36,39.29,1974825213
08-06-2022,39.29,40.89,38.29,38.79,1211034282
09-06-2022,38.79,41.9,38.41,39.93,1265873005
10-06-2022,39.93,40.87,36.81,37.12,1177042406
11-06-2022,37.12,37.88,33.15,33.86,1086904917
12-06-2022,33.86,34.4,30.54,30.59,1430666510
13-06-2022,30.59,31.05,26.02,28.54,2577135234
14-06-2022,28.54,32.2,25.84,29.51,2317785256
15-06-2022,29.51,34.8,26.75,34.71,2574959860
16-06-2022,34.71,35.9,29.53,30.08,1908909523
17-06-2022,30.08,32.08,29.23,30.67,1283536081
18-06-2022,30.67,31.97,27.06,31.97,1804420726
19-06-2022,31.97,35.31,28.69,34.16,2005402608
20-06-2022,34.16,36.84,31.7,35.22,1958378683
21-06-2022,35.22,39.11,34.2,36.37,1790090431
